LOGE GAULIN,06:36,06:55,07:13,07:31,07:51,08:09,08:27,08:47,09:06,09:25,09:52,10:20,10:48,11:17,11:48,12:12,12:31,12:49,13:12,13:29,13:47,14:05,14:24,14:42,14:59,15:17,15:36,15:55,16:14,16:33,16:52,17:11,17:30,17:51,18:08,18:26,18:42,19:02,19:23,19:45,20:03
PRINTEMPS,06:29,06:47,07:04,07:22,07:43,08:01,08:18,08:38,08:58,09:17,09:45,10:13,10:41,11:10,11:41,12:00,12:24,12:42,12:59,13:22,13:40,13:57,14:16,14:34,14:51,15:05,15:28,15:47,16:06,16:25,16:44,16:58,17:22,17:39,18:00,18:18,18:30,18:55,19:11,19:38,19:56
CEZANNE,06:28,06:47,07:04,07:21,07:42,08:01,08:18,08:38,08:58,09:17,09:44,10:12,10:40,11:09,11:40,11:59,12:23,12:41,12:58,13:21,13:39,13:57,14:16,14:34,14:51,15:04,15:28,15:47,16:06,16:25,16:44,16:57,17:22,17:38,18:00,18:18,18:29,18:54,19:11,19:37,19:55
OLIGNY,06:35,06:54,07:11,07:29,07:50,08:08,08:25,08:45,09:05,09:24,09:51,10:19,10:47,11:16,11:47,12:11,12:30,12:48,13:10,13:28,13:46,14:04,14:23,14:41,14:58,15:16,15:35,15:54,16:13,16:32,16:51,17:10,17:29,17:50,18:07,18:25,18:41,19:00,19:21,19:43,20:01
BROCARD,06:15,06:29,06:43,06:57,07:17,07:37,07:57,08:17,08:35,08:53,09:11,09:30,09:49,10:16,10:45,11:14,11:43,12:12,12:36,12:55,13:13,13:36,13:54,14:12,14:30,14:48,15:06,15:24,15:42,16:01,16:20,16:39,16:58,17:17,17:36,17:55,18:15,18:32,18:49,19:04,19:22,19:42
J. D ARC,06:47,07:06,07:25,07:45,08:05,08:23,08:41,09:00,09:19,09:38,10:05,10:33,11:01,11:30,12:00,12:24,12:42,13:00,13:24,13:42,14:00,14:18,14:36,14:54,15:12,15:30,15:49,16:08,16:27,16:46,17:05,17:24,17:43,18:03,18:20,18:37,18:53,19:12,19:32,19:54,20:12
TOUR,06:13,06:27,06:41,06:55,07:14,07:34,07:54,08:14,08:32,08:50,09:09,09:28,09:47,10:14,10:42,11:11,11:40,12:09,12:33,12:52,13:10,13:33,13:51,14:09,14:27,14:45,15:03,15:21,15:39,15:58,16:17,16:36,16:55,17:14,17:33,17:52,18:12,18:29,18:46,19:01,19:20,19:40
BALTET,06:42,07:01,07:19,07:38,07:58,08:16,08:34,08:54,09:13,09:32,09:59,10:27,10:55,11:24,11:54,12:18,12:37,12:55,13:18,13:36,13:54,14:12,14:31,14:49,15:06,15:24,15:43,16:02,16:21,16:40,16:59,17:18,17:37,17:57,18:14,18:32,18:48,19:07,19:28,19:50,20:08
MAIRIE ST GERMAIN,06:30,06:48,07:05,07:23,07:44,08:02,08:19,08:39,08:59,09:18,09:46,10:14,10:42,11:11,11:42,12:00,12:25,12:43,12:59,13:23,13:41,13:58,14:17,14:35,14:52,15:05,15:29,15:48,16:07,16:26,16:45,16:58,17:23,17:39,18:01,18:19,18:30,18:56,19:12,19:39,19:56
SECURITE SOCIALE,06:15,06:30,06:44,06:57,07:17,07:37,07:57,08:17,08:35,08:53,09:12,09:31,09:50,10:17,10:45,11:14,11:43,12:12,12:36,12:55,13:13,13:36,13:54,14:12,14:30,14:48,15:06,15:24,15:42,16:01,16:20,16:39,16:59,17:18,17:37,17:55,18:15,18:32,18:49,19:04,19:23,19:43
