LOGE GAULIN,06:11,06:26,06:44,07:00,07:16,07:36,07:56,08:16,08:39,09:05,09:30,09:58,10:26,10:54,11:23,11:43,12:05,12:24,12:41,12:59,13:17,13:34,13:49,14:10,14:29,14:48,15:07,15:27,15:45,16:03,16:23,16:42,17:02,17:22,17:40,17:57,18:16,18:36,18:58,19:21,19:44
PRINTEMPS,06:18,06:33,06:57,07:07,07:29,07:50,08:04,08:24,08:52,09:13,09:38,10:05,10:33,11:01,11:30,11:50,12:13,12:32,12:48,13:06,13:29,13:42,14:02,14:18,14:37,14:56,15:15,15:35,15:54,16:12,16:32,16:51,17:12,17:32,17:50,18:07,18:25,18:45,19:06,19:28,19:51
OLIGNY,06:13,06:28,06:46,07:02,07:18,07:39,07:59,08:19,08:42,09:08,09:33,10:00,10:28,10:56,11:25,11:45,12:07,12:27,12:43,13:01,13:19,13:37,13:52,14:13,14:32,14:51,15:10,15:30,15:48,16:06,16:25,16:44,17:04,17:24,17:42,17:59,18:18,18:39,19:01,19:23,19:46
DE GAULLE,06:00,06:15,06:31,06:47,07:03,07:21,07:41,08:01,08:23,08:49,09:15,09:43,10:11,10:39,11:08,11:28,11:48,12:08,12:26,12:44,13:02,13:19,13:34,13:55,14:14,14:33,14:52,15:11,15:29,15:47,16:06,16:25,16:44,17:04,17:22,17:40,17:59,18:20,18:44,19:07,19:30
BROCARD,06:26,06:42,06:58,07:15,07:35,07:55,08:17,08:43,09:09,09:37,10:05,10:33,11:02,11:22,11:42,12:02,12:20,12:38,12:56,13:13,13:28,13:49,14:08,14:27,14:46,15:05,15:23,15:41,16:00,16:19,16:38,16:58,17:16,17:34,17:53,18:14,18:38,19:02,19:25,19:39,19:53
J. D ARC,06:03,06:18,06:35,06:51,07:07,07:25,07:45,08:05,08:28,08:54,09:20,09:48,10:16,10:44,11:13,11:33,11:53,12:13,12:31,12:49,13:07,13:24,13:39,14:00,14:19,14:38,14:57,15:16,15:34,15:52,16:11,16:30,16:49,17:09,17:27,17:45,18:04,18:25,18:48,19:11,19:34
TOUR,06:29,06:45,07:01,07:18,07:38,07:58,08:20,08:46,09:12,09:40,10:09,10:37,11:06,11:26,11:46,12:05,12:23,12:41,12:59,13:16,13:31,13:52,14:12,14:31,14:50,15:09,15:27,15:45,16:03,16:22,16:41,17:01,17:19,17:37,17:57,18:18,18:42,19:05,19:28,19:42,19:55
MAIRIE ST GERMAIN,06:18,06:33,06:57,07:07,07:29,07:50,08:04,08:24,08:52,09:13,09:38,10:05,10:33,11:01,11:30,11:50,12:13,12:32,12:48,13:06,13:29,13:42,14:02,14:18,14:37,14:56,15:15,15:35,15:53,16:11,16:31,16:50,17:11,17:31,17:49,18:06,18:24,18:44,19:06,19:28,19:51
J. MOULIN ARGENCE,06:00,06:15,06:31,06:47,07:03,07:21,07:41,08:01,08:23,08:49,09:15,09:43,10:11,10:39,11:08,11:28,11:48,12:08,12:26,12:44,13:02,13:19,13:34,13:55,14:14,14:33,14:52,15:11,15:29,15:47,16:06,16:25,16:44,17:04,17:22,17:40,17:59,18:20,18:44,19:07,19:30,19:44,19:57
BALTET,06:08,06:23,06:40,06:56,07:12,07:31,07:51,08:11,08:34,09:00,09:25,09:53,10:21,10:49,11:18,11:38,11:59,12:19,12:36,12:54,13:12,13:29,13:44,14:05,14:24,14:43,15:02,15:22,15:40,15:58,16:17,16:36,16:56,17:16,17:34,17:51,18:10,18:31,18:53,19:16,19:39
PERRIERES,06:15,06:30,06:48,07:04,07:20,07:41,08:01,08:21,08:44,09:10,09:35,10:02,10:30,10:58,11:27,11:47,12:10,12:29,12:45,13:03,13:21,13:39,13:54,14:15,14:34,14:53,15:12,15:32,15:50,16:08,16:28,16:47,17:07,17:27,17:45,18:02,18:21,18:41,19:03,19:25,19:48
SECURITE SOCIALE,06:26,06:42,06:58,07:14,07:34,07:54,08:16,08:42,09:08,09:36,10:04,10:32,11:01,11:21,11:41,12:00,12:18,12:36,12:54,13:11,13:27,13:48,14:07,14:26,14:45,15:04,15:22,15:40,15:59,16:18,16:37,16:57,17:15,17:33,17:52,18:13,18:37,19:01,19:25,19:39,19:52
MAUGOUT,06:07,06:22,06:39,06:55,07:11,07:30,07:50,08:10,08:33,08:59,09:25,09:53,10:21,10:49,11:18,11:38,11:58,12:18,12:36,12:54,13:12,13:29,13:44,14:05,14:24,14:43,15:02,15:21,15:39,15:57,16:16,16:35,16:55,17:15,17:33,17:50,18:09,18:30,18:53,19:16,19:39
PALAIS DE JUSTICE,06:01,06:16,06:32,06:48,07:04,07:22,07:42,08:02,08:24,08:50,09:16,09:44,10:12,10:40,11:09,11:29,11:49,12:09,12:27,12:45,13:03,13:20,13:35,13:56,14:15,14:34,14:53,15:12,15:30,15:48,16:07,16:26,16:45,17:05,17:23,17:41,18:00,18:21,18:45,19:08,19:31
CHAMPS DE LA LOGE,06:24,06:40,06:56,07:12,07:32,07:52,08:14,08:40,09:06,09:34,10:03,10:31,11:00,11:20,11:40,11:59,12:17,12:35,12:53,13:10,13:25,13:46,14:06,14:25,14:44,15:03,15:21,15:39,15:57,16:16,16:35,16:55,17:13,17:31,17:51,18:12,18:36,19:00,19:23,19:37,19:51
CCI,06:04,06:19,06:35,06:51,07:07,07:26,07:46,08:06,08:29,08:55,09:21,09:49,10:17,10:45,11:14,11:34,11:54,12:14,12:32,12:50,13:08,13:25,13:40,14:01,14:20,14:39,14:58,15:17,15:35,15:53,16:12,16:31,16:50,17:10,17:28,17:46,18:05,18:26,18:49,19:12,19:35
PONT DE L ARCHE,06:16,06:31,06:54,07:05,07:26,07:47,08:02,08:22,08:49,09:11,09:36,10:03,10:31,10:59,11:28,11:48,12:11,12:30,12:46,13:04,13:26,13:40,13:59,14:16,14:35,14:54,15:13,15:33,15:51,16:09,16:29,16:48,17:09,17:29,17:47,18:04,18:22,18:42,19:04,19:26,19:49
THEATRE DE CHAMP.,06:30,06:46,07:02,07:19,07:39,07:59,08:21,08:47,09:13,09:41,10:10,10:38,11:07,11:27,11:47,12:06,12:24,12:42,13:00,13:17,13:32,13:53,14:13,14:32,14:51,15:10,15:28,15:46,16:04,16:23,16:42,17:02,17:20,17:38,17:58,18:19,18:43,19:06,19:29,19:43,19:56
MAITROT,06:09,06:24,06:41,06:57,07:13,07:33,07:53,08:13,08:36,09:02,09:27,09:55,10:23,10:51,11:20,11:40,12:01,12:21,12:38,12:56,13:14,13:31,13:46,14:07,14:26,14:45,15:04,15:24,15:42,16:00,16:19,16:38,16:58,17:18,17:36,17:53,18:12,18:33,18:55,19:18,19:41
MARAIS,06:17,06:32,06:56,07:06,07:28,07:49,08:03,08:23,08:51,09:12,09:37,10:04,10:32,11:00,11:29,11:49,12:12,12:31,12:47,13:05,13:28,13:41,14:01,14:17,14:36,14:55,15:14,15:34,15:52,16:10,16:30,16:49,17:10,17:30,17:48,18:05,18:23,18:43,19:05,19:27,19:50
ETANGS DE FOUCHY,06:22,06:38,06:54,07:10,07:30,07:50,08:12,08:38,09:04,09:32,10:00,10:28,10:57,11:17,11:37,11:56,12:14,12:32,12:50,13:07,13:23,13:44,14:03,14:22,14:41,15:00,15:18,15:36,15:55,16:14,16:33,16:53,17:11,17:29,17:48,18:09,18:33,18:57,19:21,19:35,19:49
