EGALITE,06:41,07:14,07:47,08:20,08:53,09:26,10:33,11:18,11:43,12:26,12:52,13:36,14:11,14:48,15:23,16:01,16:36,17:13,17:50,18:25,19:00,19:32
REINE BLANCHE,06:39,07:11,07:44,08:17,08:50,09:23,10:30,11:15,11:40,12:23,12:49,13:33,14:08,14:45,15:20,15:58,16:33,17:10,17:47,18:22,18:57,19:30
JACQUARD,06:34,07:06,07:39,08:12,08:45,09:18,10:25,11:09,11:34,12:17,12:43,13:27,14:02,14:39,15:14,15:52,16:27,17:04,17:41,18:16,18:51,19:25
GUIBOUT,06:48,07:21,07:54,08:27,09:00,09:33,10:40,11:25,11:50,12:33,12:59,13:43,14:18,14:55,15:30,16:08,16:44,17:21,17:58,18:33,19:07,19:39
MISSION,06:33,07:05,07:38,08:11,08:44,09:17,10:24,11:08,11:33,12:16,12:43,13:27,14:01,14:38,15:13,15:51,16:26,17:03,17:40,18:15,18:50,19:24
14 JUILLET,06:28,07:00,07:32,08:05,08:38,09:11,10:18,11:02,11:27,12:10,12:37,13:21,13:55,14:32,15:07,15:45,16:20,16:57,17:33,18:09,18:44,19:18
CHENE,06:43,07:16,07:49,08:22,08:55,09:28,10:35,11:20,11:45,12:28,12:54,13:38,14:13,14:50,15:25,16:03,16:39,17:16,17:53,18:28,19:02,19:34
ROLLIN,06:35,07:07,07:39,08:12,08:45,09:18,10:25,11:10,11:35,12:18,12:44,13:28,14:03,14:40,15:15,15:53,16:28,17:05,17:42,18:17,18:52,19:25
LAROUSSE,06:38,07:10,07:43,08:16,08:49,09:22,10:29,11:14,11:39,12:22,12:48,13:32,14:07,14:44,15:19,15:57,16:32,17:09,17:46,18:21,18:56,19:29
PARGEAS,06:32,07:04,07:36,08:09,08:42,09:15,10:22,11:06,11:31,12:14,12:41,13:25,13:59,14:36,15:11,15:49,16:24,17:01,17:38,18:13,18:48,19:22
BEURNONVILLE,06:30,07:02,07:34,08:07,08:40,09:13,10:20,11:04,11:29,12:12,12:38,13:22,13:57,14:34,15:09,15:47,16:22,16:59,17:35,18:11,18:46,19:20
PREFECTURE,06:27,06:59,07:31,08:04,08:37,09:10,10:17,11:00,11:25,12:08,12:35,13:19,13:53,14:30,15:05,15:43,16:18,16:55,17:32,18:07,18:42,19:17
CHARTREUX,06:53,06:55,07:26,07:28,07:59,08:01,08:32,08:34,09:05,09:38,09:40,10:45,10:47,11:30,11:32,11:55,11:57,12:38,12:40,13:04,13:06,13:48,13:50,14:23,14:25,15:00,15:02,15:35,15:37,16:13,16:15,16:49,16:51,17:26,17:28,18:03,18:05,18:38,18:40,19:12,19:14,19:43,19:45
THIERS,06:36,07:08,07:40,08:13,08:46,09:19,10:26,11:11,11:36,12:19,12:45,13:29,14:04,14:41,15:16,15:54,16:29,17:06,17:43,18:18,18:53,19:26
HALLE,06:25,06:57,07:29,08:02,08:35,09:08,10:15,10:58,11:23,12:06,12:33,13:17,13:51,14:28,15:03,15:41,16:16,16:53,17:29,18:05,18:40,19:15
INGRES,06:51,07:24,07:57,08:30,09:03,09:36,10:43,11:28,11:53,12:36,13:02,13:46,14:21,14:58,15:33,16:11,16:47,17:24,18:01,18:36,19:10,19:42
THEATRE DE CHAMP.,06:25,06:57,07:29,08:02,08:35,09:08,10:15,10:58,11:23,12:06,12:33,13:17,13:51,14:28,15:03,15:41,16:16,16:53,17:30,18:05,18:40,19:15
