CORRARD DE BREBAN,06:57,07:15,07:33,07:55,08:15,08:36,08:58,09:19,09:40,10:01,10:21,10:41,11:01,11:21,11:40,11:59,12:19,12:37,12:58,13:20,13:41,14:02,14:23,14:44,15:05,15:26,15:48,16:10,16:31,16:52,17:14,17:37,17:58,18:21,18:41,19:02,19:21,19:42,20:01,20:18
FARIAT,06:57,07:15,07:33,07:55,08:15,08:36,08:58,09:19,09:40,10:01,10:21,10:41,11:01,11:21,11:40,11:59,12:19,12:37,12:58,13:20,13:41,14:02,14:23,14:44,15:05,15:26,15:48,16:10,16:31,16:52,17:14,17:37,17:58,18:21,18:41,19:02,19:21,19:42,20:01,20:18
CUMINES,07:01,07:19,07:38,08:00,08:20,08:41,09:03,09:24,09:45,10:06,10:26,10:46,11:06,11:25,11:44,12:04,12:24,12:42,13:03,13:25,13:46,14:07,14:28,14:49,15:10,15:31,15:53,16:15,16:36,16:57,17:19,17:42,18:03,18:25,18:45,19:06,19:25,19:46,20:04,20:21
VOULDY,07:07,07:25,07:44,08:05,08:26,08:47,09:08,09:29,09:50,10:11,10:31,10:51,11:11,11:31,11:50,12:09,12:29,12:49,13:10,13:31,13:51,14:12,14:33,14:54,15:15,15:36,15:58,16:20,16:42,17:04,17:26,17:47,18:08,18:30,18:50,19:11,19:30,19:50,20:08,20:25
LAMARTINE,06:42,06:58,07:20,07:38,07:58,08:19,08:40,09:01,09:22,09:43,10:04,10:25,10:45,11:05,11:25,11:44,12:03,12:23,12:43,13:03,13:24,13:45,14:05,14:26,14:47,15:09,15:30,15:51,16:13,16:36,16:58,17:20,17:42,18:03,18:24,18:44,19:03,19:23,19:42,20:02
COCTEAU,06:44,07:00,07:22,07:41,08:01,08:22,08:43,09:03,09:24,09:45,10:06,10:27,10:47,11:07,11:28,11:47,12:06,12:26,12:46,13:06,13:27,13:48,14:08,14:29,14:50,15:12,15:33,15:54,16:16,16:39,17:01,17:23,17:45,18:06,18:27,18:47,19:06,19:26,19:44,20:04
POIRIER,07:03,07:21,07:40,08:02,08:22,08:43,09:05,09:26,09:47,10:08,10:28,10:48,11:08,11:27,11:46,12:06,12:26,12:44,13:05,13:27,13:48,14:09,14:30,14:51,15:12,15:33,15:55,16:17,16:38,16:59,17:21,17:44,18:05,18:27,18:47,19:08,19:27,19:47,20:06,20:23
PRES L EVEQUE,07:00,07:18,07:36,07:58,08:18,08:39,09:01,09:22,09:43,10:04,10:24,10:44,11:04,11:24,11:43,12:02,12:22,12:40,13:01,13:23,13:44,14:05,14:26,14:47,15:08,15:29,15:51,16:13,16:34,16:55,17:17,17:40,18:01,18:24,18:44,19:05,19:24,19:45,20:04,20:21
NESMY,07:06,07:24,07:43,08:04,08:25,08:46,09:07,09:28,09:49,10:10,10:30,10:50,11:10,11:30,11:49,12:08,12:28,12:47,13:08,13:30,13:50,14:11,14:32,14:53,15:14,15:35,15:57,16:19,16:41,17:02,17:24,17:46,18:07,18:29,18:49,19:10,19:29,19:49,20:07,20:24
JARDINS,06:39,06:55,07:17,07:35,07:55,08:16,08:37,08:58,09:19,09:40,10:01,10:22,10:42,11:02,11:22,11:41,12:00,12:20,12:40,13:00,13:21,13:42,14:02,14:23,14:44,15:05,15:26,15:47,16:09,16:31,16:53,17:15,17:37,17:58,18:19,18:40,19:00,19:20,19:39,19:59
